N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
150,5,FFTW,1,0.5608136304893893,9.02820757080648e-05,24.729875277342305,3.5890128352896205,1:01.49,54,107,61.1789,58.5905,55.2039
150,5,FFTW,2,0.5608136304893893,8.986979668673082e-05,24.729875277372454,3.589012835293996,1:01.06,54,107,60.7336,57.9945,54.7215
150,5,FFTW,3,0.5608136304893893,8.983538125729935e-05,24.72987527737361,3.5890128352941635,0:59.60,54,107,59.2797,56.8667,53.5482
150,5,FFTW,4,0.5608136304893893,9.000079824471655e-05,24.7298752774261,3.5890128353017814,1:01.79,54,107,61.466,58.8121,55.4501
150,5,GPFA,1,0.5608136304893894,9.05713829772393e-05,24.72987527739068,3.5890128352966406,2:07.30,54,107,126.9805,125.4802,122.0799
150,5,GPFA,2,0.5608136304893894,9.05713829772393e-05,24.72987527739068,3.5890128352966406,2:09.23,54,107,128.9003,127.2107,123.7632
150,5,GPFA,3,0.5608136304893894,9.05713829772393e-05,24.72987527739068,3.5890128352966406,2:11.87,54,107,131.5319,129.6326,126.2054
150,5,GPFA,4,0.5608136304893894,9.05713829772393e-05,24.72987527739068,3.5890128352966406,2:11.94,54,107,131.6145,129.3832,125.9588
150,10,FFTW,1,0.5608136304875829,8.927569063356298e-05,24.729875277362822,3.5890128352925985,1:06.35,54,107,66.0087,63.7187,60.4586
150,10,FFTW,2,0.5608136304875829,8.928171687871638e-05,24.72987527739468,3.589012835297221,1:05.75,54,107,65.4161,62.8656,59.6889
150,10,FFTW,3,0.5608136304875829,8.941180734405012e-05,24.72987527737639,3.589012835294567,1:06.46,54,107,66.1381,63.7126,60.5551
150,10,FFTW,4,0.5608136304875829,8.920044600124121e-05,24.72987527736832,3.589012835293396,1:07.19,54,107,66.8526,64.3732,61.11
150,10,GPFA,1,0.560813630487583,8.951218377255275e-05,24.72987527737829,3.5890128352948434,2:19.18,54,107,138.8582,137.2108,133.5138
150,10,GPFA,2,0.560813630487583,8.951218377255275e-05,24.72987527737829,3.5890128352948434,2:23.30,54,107,142.9756,141.1481,137.3859
150,10,GPFA,3,0.560813630487583,8.951218377255275e-05,24.72987527737829,3.5890128352948434,2:17.93,54,107,137.6142,135.7975,132.1078
150,10,GPFA,4,0.560813630487583,8.951218377255275e-05,24.72987527737829,3.5890128352948434,2:18.98,54,107,138.6576,137.0027,134.0005
150,15,FFTW,1,0.5608136304883574,9.278021266438474e-05,24.72987527737786,3.5890128352947808,1:01.66,54,107,61.3395,59.0568,55.7681
150,15,FFTW,2,0.5608136304883574,9.274121111305694e-05,24.7298752773864,3.58901283529602,1:00.96,54,107,60.636,58.2078,54.9202
150,15,FFTW,3,0.5608136304883574,9.273205487792435e-05,24.729875277364535,3.589012835292847,1:00.60,54,107,60.2769,58.0097,54.8989
150,15,FFTW,4,0.5608136304883574,9.274363219667553e-05,24.729875277379897,3.589012835295076,1:02.43,54,107,62.0924,59.6963,56.3468
150,15,GPFA,1,0.5608136304883575,9.277733974145336e-05,24.72987527739985,3.5890128352979724,2:22.38,54,107,142.0656,140.1191,136.7029
150,15,GPFA,2,0.5608136304883575,9.277733974145336e-05,24.72987527739985,3.5890128352979724,2:21.90,54,107,141.5805,139.7869,136.3316
150,15,GPFA,3,0.5608136304883575,9.277733974145336e-05,24.72987527739985,3.5890128352979724,2:21.39,54,107,141.0786,139.2729,135.9547
150,15,GPFA,4,0.5608136304883575,9.277733974145336e-05,24.72987527739985,3.5890128352979724,2:24.01,54,107,143.687,141.8991,137.7716
250,1,FFTW,1,0.5608093949511589,9.201960143808263e-05,24.73004976702444,3.5890381587375466,14:30.08,54,107,869.7635,842.1141,810.3899
250,1,FFTW,2,0.5608093949511589,9.201960143808263e-05,24.73004976702444,3.5890381587375466,14:23.25,54,107,862.9262,835.5274,803.7806
250,1,FFTW,3,0.5608093949511591,9.198179006534232e-05,24.730049766910387,3.5890381587209945,14:52.55,54,107,892.2314,864.411,832.7334
