N,OMP,EXE,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
150,22,ifdda,2,0.56081363048818966,8.6452159019194126E-005,2.4729875277373541E-011,1:13.92,54,110,73.576999999999998     ,55.996000000000002     
250,1,ifdda,4,0.56080939496951721,8.1951371890877375E-005,2.4730049766839981E-011,12:39.00,54,110,757.75199999999995     ,697.93200000000002     
150,22,ifdda,4,0.56081363048818977,8.6296750448617272E-005,2.4729875277382456E-011,1:07.10,54,110,66.745999999999995     ,53.165999999999997     
250,2,ifdda,2,0.56080939497273996,8.4453541465789617E-005,2.4730049767097086E-011,8:09.90,54,110,488.63299999999998     ,431.96199999999999     
150,2,ifdda,3,0.56081363048872634,8.6540214564751825E-005,2.4729875277438058E-011,1:44.77,54,110,104.38100000000000     ,90.188999999999993     
250,5,ifdda,4,0.56080939498227678,8.4202378428142885E-005,2.4730049767302899E-011,4:37.46,54,110,276.20499999999998     ,242.03899999999999     
150,2,ifdda,4,0.56081363048872634,8.6441255172435653E-005,2.4729875277359906E-011,1:45.48,54,110,105.15800000000000     ,91.691999999999993     
150,2,ifdda,2,0.56081363048872634,8.6519892000105130E-005,2.4729875277380175E-011,1:43.99,54,110,103.56399999999999     ,90.244000000000000     
250,15,ifdda,4,0.56080939499846283,8.1632133242949301E-005,2.4730049766828992E-011,3:57.73,54,110,236.59899999999999     ,202.16900000000001     
150,5,ifdda,2,0.56081363049094091,8.6682461240151183E-005,2.4729875277356956E-011,0:59.41,54,110,59.090000000000003     ,48.856000000000002     
250,22,ifdda,3,0.56080939499812521,8.3022487679311341E-005,2.4730049767305765E-011,4:02.13,54,110,240.88700000000000     ,206.47999999999999     
150,5,ifdda,1,0.56081363049094091,8.6830278442998957E-005,2.4729875277383642E-011,0:59.20,54,110,58.834000000000003     ,48.731000000000002     
150,5,ifdda,4,0.56081363049094091,8.6066107908577553E-005,2.4729875277319681E-011,0:59.33,54,110,58.972000000000001     ,48.771999999999998     
250,22,ifdda,1,0.56080939499812521,8.2967558709003087E-005,2.4730049767003608E-011,4:32.67,54,110,271.31400000000002     ,234.09200000000001     
250,10,ifdda,4,0.56080939499823934,8.1467652909188640E-005,2.4730049767176738E-011,4:24.14,54,110,262.80300000000000     ,230.29599999999999     
150,15,ifdda,4,0.56081363048870414,8.3918228996440264E-005,2.4729875277365101E-011,0:58.15,54,110,57.819000000000003     ,46.627000000000002     
150,10,ifdda,3,0.56081363048981403,8.1465345757839819E-005,2.4729875277388301E-011,1:04.89,54,110,64.563999999999993     ,53.411999999999999     
150,10,ifdda,4,0.56081363048981392,8.1652039059857247E-005,2.4729875277378630E-011,1:01.38,54,110,61.058999999999997     ,49.780999999999999     
250,10,ifdda,2,0.56080939499823934,8.1501433017031484E-005,2.4730049767159399E-011,4:17.03,54,110,255.73900000000000     ,224.19900000000001     
250,22,ifdda,4,0.56080939499812521,8.3166522185173150E-005,2.4730049767256370E-011,4:30.05,54,110,268.77199999999999     ,232.89900000000000     
150,1,ifdda,1,0.56081363047393606,8.5024693258316616E-005,2.4729875277382773E-011,2:29.56,54,110,149.24299999999999     ,135.21199999999999     
250,10,ifdda,3,0.56080939499823923,8.1470851713336730E-005,2.4730049767468173E-011,4:19.39,54,110,258.31599999999997     ,228.25399999999999     
250,15,ifdda,2,0.56080939499846283,8.1563478449511324E-005,2.4730049767153997E-011,3:56.66,54,110,235.58000000000001     ,201.62899999999999     
250,2,ifdda,1,0.56080939497274007,8.4434285962086379E-005,2.4730049766724622E-011,8:20.02,54,110,498.94200000000001     ,442.58900000000000     
250,2,ifdda,4,0.56080939497273985,8.4444063846788743E-005,2.4730049767093680E-011,8:19.35,54,110,498.29399999999998     ,442.00000000000000     
250,5,ifdda,3,0.56080939498227689,8.4171700645305382E-005,2.4730049767334920E-011,4:39.18,54,110,277.96600000000001     ,242.49900000000000     
150,10,ifdda,2,0.56081363048981403,8.1444356894211126E-005,2.4729875277392734E-011,1:06.28,54,110,65.924000000000007     ,55.343000000000004     
150,1,ifdda,4,0.56081363047393606,8.5024693258316616E-005,2.4729875277382773E-011,3:27.16,54,110,206.73500000000001     ,190.09899999999999     
150,10,ifdda,1,0.56081363048981403,8.1637088184443110E-005,2.4729875277399042E-011,1:00.12,54,110,59.792000000000002     ,49.045999999999999     
250,10,ifdda,1,0.56080939499823945,8.1559727614971390E-005,2.4730049767201107E-011,4:31.47,54,110,270.41399999999999     ,237.57300000000001     
