N,FFT,OMP,rep,first_residual,last_residual,Qext,elapsed_time,elapsed_seconds,num_iterations
250,GPFAFT,22,1,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:27.46,1347.4600,54
150,FFTMKL,5,3,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:26.29,146.2900,54
150,FFTMKL,10,3,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:27.23,147.2300,54
150,GPFAFT,15,1,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:44.83,284.8300,54
250,FFTMKL,10,1,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:54.69,714.6900,54
150,FFTMKL,2,2,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:37.82,157.8200,54
250,GPFAFT,5,2,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:15.05,1335.0500,54
250,GPFAFT,15,1,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:24.36,1344.3600,54
250,GPFAFT,10,1,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:17.58,1337.5800,54
250,GPFAFT,2,1,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,23:03.30,1383.3000,54
150,GPFAFT,15,2,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:44.15,284.1500,54
250,FFTMKL,2,3,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,12:44.26,764.2600,54
250,FFTMKL,15,1,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:52.68,712.6800,54
150,FFTMKL,10,1,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:27.67,147.6700,54
250,GPFAFT,15,2,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:17.93,1337.9300,54
150,FFTMKL,15,1,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:27.94,147.9400,54
150,FFTMKL,2,3,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:38.50,158.5000,54
150,FFTMKL,5,2,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:25.30,145.3000,54
250,FFTMKL,5,3,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:52.17,712.1700,54
150,GPFAFT,2,1,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:56.02,296.0200,54
250,FFTMKL,5,1,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:52.18,712.1800,54
250,FFTMKL,15,2,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:50.44,710.4400,54
250,FFTMKL,22,3,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:57.67,717.6700,54
250,FFTMKL,2,2,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,12:42.43,762.4300,54
250,GPFAFT,22,3,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:22.25,1342.2500,54
250,FFTMKL,10,3,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:53.47,713.4700,54
150,GPFAFT,15,3,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:44.99,284.9900,54
150,GPFAFT,10,1,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:46.33,286.3300,54
150,FFTMKL,15,2,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:27.54,147.5400,54
150,GPFAFT,22,2,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:54.02,294.0200,54
150,GPFAFT,5,2,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:44.23,284.2300,54
250,FFTMKL,2,1,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,12:44.29,764.2900,54
250,FFTMKL,5,2,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:51.16,711.1600,54
150,GPFAFT,2,3,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:56.53,296.5300,54
250,FFTMKL,15,3,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:51.60,711.6000,54
250,GPFAFT,10,3,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:21.95,1341.9500,54
250,FFTMKL,22,1,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:57.17,717.1700,54
150,FFTMKL,22,1,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:31.80,151.8000,54
150,GPFAFT,22,1,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:50.76,290.7600,54
