N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
250,5,FFTW,3,5.60809394986042764E-01,9.11107353636127898E-05,24.730049767352952,3.5890381587852231,5:15.08,54,107,314.7713,305.7566,290.9263
150,15,FFTW,1,5.60813630488357417E-01,9.27802126643847486E-05,24.729875277377861,3.5890128352947808,1:01.66,54,107,61.3395,59.0568,55.7681
250,2,GPFA,1,5.60809395002360156E-01,9.04928721887189802E-05,24.730049767387229,3.5890381587901978,25:46.13,54,107,1545.7961,1526.2985,1505.7870
150,2,FFTW,3,5.60813630489967130E-01,9.26603461822778958E-05,24.729875277373662,3.589012835294171,1:36.00,54,107,95.6863,91.8142,87.4281
150,10,GPFA,4,5.60813630487583037E-01,8.95121837725527508E-05,24.729875277378294,3.5890128352948434,2:18.98,54,107,138.6576,137.0027,134.0005
150,1,GPFA,4,5.60813630483392611E-01,8.89258094354544064E-05,24.729875277402368,3.5890128352983375,4:49.54,54,107,289.2239,284.2948,277.4519
150,10,GPFA,3,5.60813630487583037E-01,8.95121837725527508E-05,24.729875277378294,3.5890128352948434,2:17.93,54,107,137.6142,135.7975,132.1078
150,15,GPFA,4,5.60813630488357528E-01,9.27773397414533637E-05,24.729875277399852,3.5890128352979724,2:24.01,54,107,143.6870,141.8991,137.7716
150,2,FFTW,1,5.60813630489967130E-01,9.26602740935793869E-05,24.729875277365622,3.5890128352930044,1:41.73,54,107,101.4123,97.0090,92.5589
150,5,FFTW,3,5.60813630489389259E-01,8.98353812572993683E-05,24.729875277373608,3.5890128352941635,0:59.60,54,107,59.2797,56.8667,53.5482
250,5,GPFA,2,5.60809394986042764E-01,9.11822773802379552E-05,24.730049766774332,3.589038158701249,15:06.11,54,107,905.7908,895.3933,879.9493
150,10,FFTW,1,5.60813630487582926E-01,8.92756906335629813E-05,24.729875277362826,3.5890128352925985,1:06.35,54,107,66.0087,63.7187,60.4586
150,1,GPFA,3,5.60813630483392611E-01,8.89258094354544064E-05,24.729875277402368,3.5890128352983375,4:49.16,54,107,288.8524,284.0291,277.1920
150,2,FFTW,4,5.60813630489967130E-01,9.22690215407993028E-05,24.729875277407196,3.5890128352990378,1:34.26,54,107,93.9542,90.0481,85.6543
150,10,FFTW,3,5.60813630487582926E-01,8.94118073440501354E-05,24.72987527737639,3.5890128352945672,1:06.46,54,107,66.1381,63.7126,60.5551
150,10,FFTW,4,5.60813630487582926E-01,8.92004460012412148E-05,24.729875277368322,3.5890128352933961,1:07.19,54,107,66.8526,64.3732,61.1100
150,10,FFTW,2,5.60813630487582926E-01,8.92817168787163838E-05,24.72987527739468,3.5890128352972215,1:05.75,54,107,65.4161,62.8656,59.6889
150,1,FFTW,2,5.60813630483392500E-01,8.88862007676347244E-05,24.729875277341865,3.5890128352895565,2:20.98,54,107,140.6392,134.7804,127.8311
250,1,GPFA,4,5.60809394951158668E-01,9.20634170064653585E-05,24.730049766995503,3.5890381587333473,32:22.14,54,107,1941.8268,1918.1503,1886.6789
150,1,FFTW,3,5.60813630483392389E-01,8.89231183061196231E-05,24.729875277419278,3.5890128353007915,2:19.89,54,107,139.5716,133.6074,126.6867
250,5,GPFA,4,5.60809394986042764E-01,9.11822773802379552E-05,24.730049766774332,3.589038158701249,15:21.68,54,107,921.3696,911.4229,896.3870
250,10,FFTW,4,5.60809395002060396E-01,8.99216981563755885E-05,24.730049767013792,3.5890381587360016,5:43.55,54,107,343.2180,332.8494,318.0477
250,15,GPFA,3,5.60809395000495314E-01,9.03823702792689194E-05,24.730049767143438,3.5890381587548168,17:12.37,54,107,1032.0527,1019.7544,997.4138
150,2,GPFA,1,5.60813630489966908E-01,9.19753617401595277E-05,24.72987527739425,3.5890128352971593,3:18.31,54,107,197.9911,194.3744,189.9936
250,10,FFTW,2,5.60809395002060396E-01,8.99549886935945101E-05,24.73004976699773,3.5890381587336702,5:40.49,54,107,340.1631,329.8614,314.6523
250,5,FFTW,1,5.60809394986042764E-01,9.13360369483818077E-05,24.730049767341661,3.5890381587835845,5:14.24,54,107,313.9289,304.1382,288.9072
250,1,FFTW,2,5.60809394951158890E-01,9.20196014380826469E-05,24.730049767024436,3.5890381587375462,14:23.25,54,107,862.9262,835.5274,803.7806
250,5,FFTW,4,5.60809394986042764E-01,9.13360369483818077E-05,24.730049767341661,3.5890381587835845,5:10.85,54,107,310.5346,302.0204,287.0290
150,5,FFTW,1,5.60813630489389259E-01,9.02820757080648179E-05,24.729875277342305,3.5890128352896205,1:01.49,54,107,61.1789,58.5905,55.2039
250,15,FFTW,1,5.60809395000495536E-01,9.03498172618611843E-05,24.730049767214314,3.5890381587651028,5:51.60,54,107,351.2761,339.9825,323.6615
250,5,FFTW,2,5.60809394986042764E-01,9.08824013638821271E-05,24.730049767124193,3.5890381587520235,5:22.74,54,107,322.4281,312.9919,298.0385
150,15,FFTW,2,5.60813630488357417E-01,9.27412111130569391E-05,24.729875277386398,3.5890128352960198,1:00.96,54,107,60.6360,58.2078,54.9202
150,2,GPFA,3,5.60813630489966908E-01,9.19753617401595277E-05,24.72987527739425,3.5890128352971593,3:19.17,54,107,198.8498,195.2377,190.8231
150,1,GPFA,1,5.60813630483392611E-01,8.89258094354544064E-05,24.729875277402368,3.5890128352983375,4:47.55,54,107,287.2354,282.5416,275.7074
250,2,FFTW,4,5.60809395002360045E-01,9.05109793090529851E-05,24.730049767521585,3.5890381588096969,9:06.59,54,107,546.2722,530.1267,508.5664
250,2,FFTW,3,5.60809395002360045E-01,9.05057195737790903E-05,24.73004976708766,3.5890381587467219,9:24.43,54,107,564.1206,547.3352,526.2698
250,1,GPFA,2,5.60809394951158668E-01,9.20634170064653585E-05,24.730049766995503,3.5890381587333473,33:17.25,54,107,1996.9398,1973.1474,1941.5540
250,15,FFTW,4,5.60809395000495536E-01,9.03747717624156787E-05,24.730049767190895,3.5890381587617042,5:52.90,54,107,352.5758,341.8600,325.1901
150,5,GPFA,4,5.60813630489389370E-01,9.05713829772393015E-05,24.729875277390679,3.5890128352966411,2:11.94,54,107,131.6145,129.3832,125.9588
250,2,FFTW,1,5.60809395002360045E-01,9.05109793090529851E-05,24.730049767521585,3.5890381588096969,9:10.09,54,107,549.7749,532.3546,511.2898
