JOBID,N,FFT,OMP,rep,first_residual,last_residual,Qext,elapsed_time,elapsed_seconds,num_iterations
1555716,150,GPFAFT,15,3,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555643,250,GPFAFT,5,3,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555659,250,GPFAFT,50,3,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555665,250,FFTMKL,10,2,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555708,250,GPFAFT,25,3,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555760,150,FFTMKL,50,3,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555730,250,FFTMKL,50,1,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555737,150,FFTMKL,15,2,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555731,250,FFTMKL,10,3,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555768,150,FFTMKL,2,3,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555769,150,FFTMKL,5,3,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555778,150,GPFAFT,25,1,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555774,150,GPFAFT,75,2,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555740,250,FFTMKL,10,1,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555727,250,GPFAFT,1,1,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555743,250,GPFAFT,5,1,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555747,250,GPFAFT,5,2,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555750,250,GPFAFT,125,3,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555722,250,FFTMKL,1,2,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555759,250,FFTMKL,5,2,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555748,250,FFTMKL,125,1,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555782,250,FFTMKL,25,1,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555780,250,GPFAFT,2,3,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
