JOBID,N,FFT,OMP,rep,first_residual,last_residual,Qext,elapsed_time,elapsed_seconds,num_iterations
1555747,250,GPFAFT,5,2,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:38,1898.0,54
1555643,250,GPFAFT,5,3,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:32,1892.0,54
1555740,250,FFTMKL,10,1,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:26,1646.0,54
1555665,250,FFTMKL,10,2,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:24,1644.0,54
1555731,250,FFTMKL,10,3,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:31,1651.0,54
1555580,250,GPFAFT,10,1,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:22,1882.0,54
1555558,250,GPFAFT,10,2,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:23,1883.0,54
1555525,250,GPFAFT,10,3,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:23,1883.0,54
1555696,250,FFTMKL,15,1,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:20,1640.0,54
1555539,250,FFTMKL,15,2,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:14,1634.0,54
1555639,250,FFTMKL,15,3,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:21,1641.0,54
1555686,250,GPFAFT,15,1,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:11,1871.0,54
1555606,250,GPFAFT,15,2,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:06,1866.0,54
1555532,250,GPFAFT,15,3,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:07,1867.0,54
1555782,250,FFTMKL,25,1,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:03,1623.0,54
1555573,250,FFTMKL,25,2,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:03,1623.0,54
1555536,250,FFTMKL,25,3,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:09,1629.0,54
1555616,250,GPFAFT,25,1,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:03,1863.0,54
1555590,250,GPFAFT,25,2,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:09,1869.0,54
1555708,250,GPFAFT,25,3,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:07,1867.0,54
1555730,250,FFTMKL,50,1,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:26:57,1617.0,54
1555632,250,FFTMKL,50,2,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:27:03,1623.0,54
1555638,250,FFTMKL,50,3,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:26:45,1605.0,54
1555604,250,GPFAFT,50,1,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:30:56,1856.0,54
1555596,250,GPFAFT,50,2,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:07,1867.0,54
1555659,250,GPFAFT,50,3,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:04,1864.0,54
1555748,250,FFTMKL,125,1,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:28:54,1734.0,54
1555567,250,FFTMKL,125,2,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:28:49,1729.0,54
1555645,250,FFTMKL,125,3,0.5608093949957415,8.39800211209e-05,3.5890381587601654,00:28:28,1708.0,54
1555669,250,GPFAFT,125,1,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:38,1898.0,54
1555673,250,GPFAFT,125,2,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:40,1900.0,54
1555750,250,GPFAFT,125,3,0.5608093949957411,8.39697836076e-05,3.589038158762821,00:31:58,1918.0,54
