JOBID,N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
1595542,150,150,FFTW,1,0.5608136304886524,9.261075987252682e-05,24729875.27737943,3.5890128352950104,00:00:10,54,108,8.3304,6.6202,6.2951
1595306,150,150,FFTW,2,0.5608136304886524,8.962933730476336e-05,24729875.277379587,3.589012835295033,00:00:09,54,108,8.3539,6.6396,6.3082
1595302,150,150,FFTW,3,0.5608136304886524,8.90883490111361e-05,24729875.27737925,3.5890128352949846,00:00:09,54,108,8.3841,6.6258,6.2787
1595428,150,150,GPFA,1,0.5608136304886526,8.438170119113433e-05,24729875.27737968,3.5890128352950468,00:00:13,54,108,12.1251,11.3545,10.9619
1595320,150,150,GPFA,2,0.5608136304886526,8.438170119113433e-05,24729875.27737968,3.5890128352950468,00:00:13,54,108,12.1129,11.3468,11.0095
1595367,150,150,GPFA,3,0.5608136304886526,8.438170119113433e-05,24729875.27737968,3.5890128352950468,00:00:13,54,108,12.1303,11.3442,10.9512
1595459,250,1,FFTW,1,0.5608093950118819,8.345000145031418e-05,24730049.767139643,3.5890381587542657,00:16:13,54,108,972.2687,938.4921,916.4847
1595354,250,1,FFTW,2,0.5608093950118819,8.32878512276035e-05,24730049.767059386,3.589038158742617,00:16:03,54,108,962.344,928.6726,906.6211
1595357,250,1,FFTW,3,0.5608093950118819,8.306187313806461e-05,24730049.76721217,3.5890381587647924,00:16:27,54,108,986.3254,952.2728,930.2381
1595434,250,1,GPFA,1,0.5608093950118818,8.3331413731082e-05,24730049.76725246,3.5890381587706384,00:39:20,54,108,2359.9722,2327.8057,2305.2292
1595462,250,1,GPFA,2,0.5608093950118818,8.3331413731082e-05,24730049.76725246,3.5890381587706384,00:39:29,54,108,2368.1568,2335.8698,2313.3319
1595456,250,1,GPFA,3,0.5608093950118818,8.3331413731082e-05,24730049.76725246,3.5890381587706384,00:39:37,54,108,2377.0688,2344.9924,2322.4511
1595433,250,2,FFTW,1,0.5608093949880366,8.281118144311081e-05,24730049.76718547,3.589038158760916,00:08:35,54,108,513.8186,492.671,481.7042
1595553,250,2,FFTW,2,0.5608093949880366,8.279920125631347e-05,24730049.767336544,3.589038158782841,00:08:36,54,108,515.3899,494.0539,483.0263
1595323,250,2,FFTW,3,0.5608093949880366,8.281426569191226e-05,24730049.76731964,3.589038158780388,00:08:26,54,108,505.5202,484.4263,473.2341
1595417,250,2,GPFA,1,0.5608093949880365,8.276326403076988e-05,24730049.7671778,3.5890381587598035,00:20:45,54,108,1244.7486,1227.9026,1216.6341
1595488,250,2,GPFA,2,0.5608093949880365,8.276326403076988e-05,24730049.7671778,3.5890381587598035,00:20:33,54,108,1232.2024,1215.4777,1203.8169
1595374,250,2,GPFA,3,0.5608093949880365,8.276326403076988e-05,24730049.7671778,3.5890381587598035,00:20:45,54,108,1244.7735,1227.9328,1216.3899
1595366,250,5,FFTW,1,0.5608093950012217,8.48390055471446e-05,24730049.76726972,3.5890381587731426,00:04:58,54,108,296.9298,286.5923,273.7762
1595383,250,5,FFTW,2,0.5608093950012217,8.668672110804574e-05,24730049.767537,3.589038158811933,00:05:00,54,108,299.46,289.2217,276.0849
1595435,250,5,FFTW,3,0.5608093950012217,8.4341563241765e-05,24730049.76731672,3.589038158779964,00:04:59,54,108,299.0179,288.7715,275.5768
1595464,250,5,GPFA,1,0.5608093950012216,8.246492160490655e-05,24730049.766997408,3.589038158733623,00:11:55,54,108,713.9185,705.2803,691.9648
1595342,250,5,GPFA,2,0.5608093950012216,8.246492160490655e-05,24730049.766997408,3.589038158733623,00:11:55,54,108,713.6342,704.9994,691.544
1595362,250,5,GPFA,3,0.5608093950012216,8.246492160490655e-05,24730049.766997408,3.589038158733623,00:11:54,54,108,713.1778,704.5538,691.0664
1595332,250,10,FFTW,1,0.5608093949963058,8.443198574820234e-05,24730049.767223045,3.5890381587663693,00:03:08,54,108,187.1606,180.5686,171.3978
1595534,250,10,FFTW,2,0.5608093949963058,8.504706721960854e-05,24730049.76712593,3.5890381587522766,00:03:05,54,108,184.4054,177.9429,168.9496
1595514,250,10,FFTW,3,0.5608093949963058,8.49711858604365e-05,24730049.767177086,3.5890381587597,00:03:09,54,108,188.1457,181.595,172.2566
1595426,250,10,GPFA,1,0.5608093949963057,8.504104498476609e-05,24730049.767216176,3.5890381587653724,00:06:31,54,108,390.79,384.8655,375.0472
1595322,250,10,GPFA,2,0.5608093949963057,8.504104498476609e-05,24730049.767216176,3.5890381587653724,00:06:33,54,108,393.2964,387.3657,377.65
1595491,250,10,GPFA,3,0.5608093949963057,8.504104498476609e-05,24730049.767216176,3.5890381587653724,00:06:32,54,108,392.3107,386.0739,377.0844
1595489,250,15,FFTW,1,0.5608093949954264,8.095131739551306e-05,24730049.767177675,3.589038158759785,00:03:17,54,108,196.4456,189.6241,177.1475
1595460,250,15,FFTW,2,0.5608093949954264,8.0876250932169e-05,24730049.767250303,3.5890381587703253,00:03:18,54,108,197.7957,190.9673,179.2672
1595427,250,15,FFTW,3,0.5608093949954264,8.095216536560129e-05,24730049.767143097,3.5890381587547666,00:03:17,54,108,197.2239,190.3967,177.7551
1595415,250,15,GPFA,1,0.5608093949954259,8.097983563061148e-05,24730049.767256103,3.589038158771168,00:06:33,54,108,393.4704,386.9372,374.3024
1595470,250,15,GPFA,2,0.5608093949954259,8.097983563061148e-05,24730049.767256103,3.589038158771168,00:06:35,54,108,394.051,387.5616,375.1376
1595310,250,15,GPFA,3,0.5608093949954259,8.097983563061148e-05,24730049.767256103,3.589038158771168,00:06:33,54,108,393.2382,386.7626,374.1878
