JOBID,N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
1555620,150,10,GPFA,2,0.5608136304891904,8.615429465718273e-05,24.72987527737119,3.589012835293812,,54,108,69.5276,68.1524,66.095
1555630,150,10,GPFA,3,0.5608136304891904,8.615429465718273e-05,24.72987527737119,3.589012835293812,,54,108,69.7757,68.3923,66.3195
1555776,150,15,FFTW,1,0.5608136304888294,8.675079051831222e-05,24.729875277378923,3.589012835294935,,54,108,33.0318,30.8069,28.595
1555550,150,15,FFTW,2,0.5608136304888294,8.675517614297281e-05,24.72987527739408,3.5890128352971344,,54,108,32.9075,30.786,28.4448
1555589,150,15,FFTW,3,0.5608136304888294,8.670841594119744e-05,24.7298752773688,3.589012835293466,,54,108,32.9526,30.6995,28.173
1555629,150,15,GPFA,1,0.5608136304888295,8.666003906508172e-05,24.729875277377776,3.5890128352947688,,54,108,59.4408,58.1709,55.8026
1555582,150,15,GPFA,2,0.5608136304888295,8.666003906508172e-05,24.729875277377776,3.5890128352947688,,54,108,59.7818,58.5033,56.1447
1555646,150,15,GPFA,3,0.5608136304888295,8.666003906508172e-05,24.729875277377776,3.5890128352947688,,54,108,59.1719,57.9031,55.6258
1555591,150,25,FFTW,1,0.5608136304884902,8.47025018180131e-05,24.729875277385236,3.5890128352958506,,54,108,22.8994,21.1538,19.6102
1555707,150,25,FFTW,2,0.5608136304884903,8.453709731160237e-05,24.729875277375758,3.589012835294475,,54,108,23.0173,21.2863,19.598
1555692,150,25,FFTW,3,0.5608136304884902,8.435148966243753e-05,24.729875277386224,3.5890128352959945,,54,108,22.9837,21.1674,19.5129
1555598,150,25,GPFA,1,0.5608136304884904,8.345834094979578e-05,24.729875277380703,3.5890128352951933,,54,108,40.0719,39.0495,37.5163
1555566,150,25,GPFA,2,0.5608136304884904,8.345834094979578e-05,24.729875277380703,3.5890128352951933,,54,108,40.2397,39.1918,37.6264
1555587,150,25,GPFA,3,0.5608136304884904,8.345834094979578e-05,24.729875277380703,3.5890128352951933,,54,108,40.0177,38.9947,37.4937
1555720,150,50,FFTW,1,0.5608136304887678,8.401860808925452e-05,24.729875277381552,3.5890128352953163,,54,108,18.6341,16.9502,15.9477
1555614,150,50,FFTW,2,0.5608136304887678,8.447471489469165e-05,24.72987527738279,3.589012835295496,,54,108,18.3317,16.6712,15.6597
1555725,150,50,FFTW,3,0.5608136304887678,8.439107088471508e-05,24.729875277382416,3.5890128352954416,,54,108,18.5867,16.7841,15.8136
1555726,150,50,GPFA,1,0.5608136304887679,8.408430266389147e-05,24.72987527738288,3.5890128352955086,,54,108,30.8162,29.9369,28.9403
1555650,150,50,GPFA,2,0.5608136304887679,8.408430266389147e-05,24.72987527738288,3.5890128352955086,,54,108,30.8696,29.9928,28.9901
1555767,150,50,GPFA,3,0.5608136304887679,8.408430266389147e-05,24.72987527738288,3.5890128352955086,,54,108,30.6325,29.7438,28.7634
1555766,150,75,FFTW,1,0.5608136304886402,8.363834925859417e-05,24.729875277381527,3.589012835295313,,54,108,13.282,11.8297,11.202
1555687,150,75,FFTW,2,0.5608136304886402,8.353642014550611e-05,24.72987527738008,3.5890128352951023,,54,108,13.3665,11.911,11.1556
