JOBID,N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
1555697,250,5,GPFA,1,5.60809395002057176E-01,8.39396572319922558E-05,24.730049767259292,3.5890381587716305,NA,54,108,707.7879,699.2083,685.6187
1555718,250,10,FFTW,2,5.60809394997496602E-01,8.18294641508560610E-05,24.730049767343118,3.5890381587837958,NA,54,108,187.7164,181.2003,171.3077
1555728,150,5,FFTW,3,5.60813630487592363E-01,8.38746705942915123E-05,24.729875277378966,3.5890128352949411,NA,54,108,53.2520,50.1032,47.1667
1555726,150,50,GPFA,1,5.60813630488767867E-01,8.40843026638914706E-05,24.729875277382877,3.5890128352955086,NA,54,108,30.8162,29.9369,28.9403
1555671,250,125,GPFA,2,5.60809394995799404E-01,8.52360362209573401E-05,24.730049767165941,3.5890381587580826,NA,54,108,78.1807,76.5750,74.3294
1555723,150,1,FFTW,2,5.60813630489956028E-01,8.64832996440411929E-05,24.729875277394427,3.5890128352971851,NA,54,108,168.5935,159.1002,154.3437
1555732,150,5,FFTW,2,5.60813630487592363E-01,8.41586440389998139E-05,24.729875277380845,3.5890128352952138,NA,54,108,53.6276,50.4756,47.7094
1555735,250,25,FFTW,3,5.60809394995075983E-01,7.85853028307885156E-05,24.73004976718488,3.5890381587608311,NA,54,108,119.2573,115.0742,108.1053
1555690,150,150,FFTW,3,5.60813630488707360E-01,8.47610635307012995E-05,24.729875277379119,3.5890128352949633,NA,54,108,8.3283,6.6141,6.3126
1555739,250,5,FFTW,2,5.60809395002057176E-01,8.39410233838580702E-05,24.730049767512366,3.5890381588083589,NA,54,108,297.6061,287.3658,273.6987
1555695,150,2,GPFA,1,5.60813630491031057E-01,8.62235976603688720E-05,24.729875277385759,3.589012835295927,NA,54,108,197.1582,193.3986,190.8045
1555741,150,10,FFTW,1,5.60813630489190307E-01,8.61112409224783676E-05,24.729875277371665,3.5890128352938815,NA,54,108,35.4986,33.1990,31.1991
